Frequency(Hz)	S21_complex
4.650765076508e+09	-8.740431677805e-01+4.378674919112e-02j
4.650885088509e+09	-8.723529863183e-01+6.488589776294e-02j
4.651005100510e+09	-8.701563021057e-01+8.591741351268e-02j
4.651125112511e+09	-8.674433748916e-01+1.068891880706e-01j
4.651245124512e+09	-8.642327330664e-01+1.277888524531e-01j
4.651365136514e+09	-8.605079156755e-01+1.485917313994e-01j
4.651485148515e+09	-8.562923071142e-01+1.692883105941e-01j
4.651605160516e+09	-8.515671931353e-01+1.898728327238e-01j
4.651725172517e+09	-8.463539914631e-01+2.103382823619e-01j
4.651845184518e+09	-8.406358458506e-01+2.306627788183e-01j
4.651965196520e+09	-8.344434932848e-01+2.508366082690e-01j
4.652085208521e+09	-8.277534967091e-01+2.708411841414e-01j
4.652205220522e+09	-8.205982911704e-01+2.906675264654e-01j
4.652325232523e+09	-8.129592247314e-01+3.103141963606e-01j
4.652445244524e+09	-8.048370456832e-01+3.297690264703e-01j
4.652565256526e+09	-7.962648265086e-01+3.490111440532e-01j
4.652685268527e+09	-7.872284332348e-01+3.680325007126e-01j
4.652805280528e+09	-7.777201580728e-01+3.868128555390e-01j
4.652925292529e+09	-7.677834546826e-01+4.053639093799e-01j
